,date,id_google,id_facebook,id_amazon,id_apple,mean_variation,portfolio_1,portfolio_2,portfolio_3,mean_volume,mean_variation_friday
53,2015-07-08,53,53,53,53,1.5232104519364567,10211.5350726,10331.4630996,10344.697150599999,22210175.0,0.0
54,2015-07-09,54,54,54,54,1.955498395984767,10225.1219892,10335.1439091,10334.5778765,26504025.0,0.0
55,2015-07-10,55,55,55,55,1.5944302648671143,10255.3208158,10366.2548398,10333.724914999999,22239525.0,6.377721059468457
56,2015-07-13,56,56,56,56,2.021232022731701,10435.8751797,10558.8421347,10543.052089899998,19395125.0,0.0
57,2015-07-14,57,57,57,57,2.0343626814954843,10662.3120801,10798.740119999999,10759.0841198,16594050.0,0.0
58,2015-07-15,58,58,58,58,1.4107873648839995,10708.1500997,10842.481133899999,10777.743136699999,17326950.0,0.0
59,2015-07-16,59,59,59,59,1.794290361357967,10795.401907,10937.067922299999,10885.503913699999,16722600.0,0.0
60,2015-07-17,60,60,60,60,2.512633397640774,11353.0102056,11430.7282056,11230.3722112,29065850.0,10.050533590563097
61,2015-07-20,61,61,61,61,2.236822579774044,11630.594958099999,11704.494034,11488.2080758,31093525.0,0.0
62,2015-07-21,62,62,62,62,2.0363857753086028,11713.2360934,11723.517125800001,11518.069175,30692175.0,0.0
63,2015-07-22,63,63,63,63,2.2337901481703133,11443.830906000001,11442.234882300001,11111.674843699999,37698575.0,0.0
64,2015-07-23,64,64,64,64,2.7406374636111694,11572.1000272,11603.471031999998,11320.5849666,23205450.0,0.0
65,2015-07-24,65,65,65,65,4.041518724007648,12050.736877000001,12425.349874,12155.425886,25285575.0,16.16607489603059
66,2015-07-27,66,66,66,66,2.4064657667980933,11540.624979999999,11744.6339296,11499.815870399998,23301825.0,0.0
67,2015-07-28,67,67,67,67,1.8576048911950325,11600.6178982,11858.5189441,11606.2689021,18963625.0,0.0
68,2015-07-29,68,68,68,68,1.697395505130877,11589.8758777,11804.1238294,11547.533874599998,26746925.0,0.0
69,2015-07-30,69,69,69,69,2.4313778134140143,11515.8952712,11738.7022928,11478.6182688,31264225.0,0.0
70,2015-07-31,70,70,70,70,1.6461917745035737,11601.115063099998,11867.584210699999,11608.0801961,23531425.0,6.584767098014295
71,2015-08-03,71,71,71,71,2.4467777595466744,11498.399169799999,11785.5082103,11532.4161677,25909450.0,0.0
72,2015-08-04,72,72,72,72,1.9786411803407296,11389.8789244,11624.583922299998,11316.243923299999,37175025.0,0.0
